PSG,Arsenal,2.35,3.30,3.20
Gremio,Corinthians,2.35,3.15,3.05
Red Bull Bragantino,SC Internacional,2.12,3.20,3.45
Instituto AC Cordoba,Atletico Lanus,2.48,3.05,2.90
AIK,IK Sirius,3.00,3.65,2.16
IF Gnistan,Seinajoen JK,2.65,3.50,2.43
Kuopion Palloseura,FC Inter Turku,2.50,3.15,2.80
Turun Palloseura,Vaasan Palloseura,2.80,3.35,2.39
FC Lahti,Tampereen Ilves,2.55,3.30,2.70
AD Ceuta,Albacete,2.45,3.45,2.70
Granada,Sporting Gijon,2.33,3.40,2.90
Degerfors,IF Brommapojkarna,2.34,3.25,3.00
Vasteras SK,IFK Goteborg,2.60,3.40,2.55
Deportivo La Coruna,Las Palmas,2.75,3.30,2.45
Real Sociedad B,Cultural Leonesa,2.22,3.55,3.00